journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
Vsesvit,,Korotych V. (1978-1986),Келлер Девід,Клапоть лінолеуму: Оповідання,1981,,David Henry Keller,A Piece of Linoleum,1933,,was published under the pseudonym Amy Worth,1980s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Кепп Ел,Лисий Горел: Комікс,1990,,Al Kapp,The Bald Iggle/From Li'l Abner series,1955,,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Керуак Джек,Малий Пік: Повість,1979,,Jack Kerouac,Pic,1971,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Кінг Стівен,Переслідуваний: Роман,1991,,Stephen King,The Running Man,1982,,"first published underthe  pseudonym Richard Bachman, in 1985 it was collected in The Bachman Books",1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Клейтон Джон Белл,Біле коло,1959,,John Bell Clayton,The White Circle,1947,,,1950s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Клейтон Джон Белл,Випадок на Чепмен Свич,1959,,John Bell Clayton,Incident at Chapman's Switch,1957,,"can't find the original date, but it  was included in The Strangers Were There collection",1950s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Клейтон Джон Белл,"Щаслива історія, коли розповісти її з кінця: Оповідання",1959,,John Bell Clayton,A Happy Story When Seen Backwards,1957,,,1950s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Колдуелл Ерскін,Лампа горить цілу ніч: Роман,1962,,Erskine Caldwell,A Lamp for Nightfall,1952,,,1960s,Khrushchev
Vsesvit,,Pavlychko D. (1971-1978),Колдуелл Ерскін,Смоленська дорога: Нариси,1975,,Erskine Caldwell,All-Out on the Road to Smolensk,1942,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Коннел Івен С. ,Мелвін стає абстракціоністом: Розд. з роману «Патріот»,1963,,Evan S. Connell,The  Patriot,1960,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Коул Берт,Вулкан Субі: Роман,1959,,Burt Cole,Subi: The Volcano,1957,,,1950s,Khrushchev
Vsesvit,,Mykytenko O. (1986-2000),Кук Робін,Мозок: Роман,1989,,Robin Cook,Brain,1980,Medical thriller,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Ларднер Рінг,День Конрада Гріна: Оповідання,1971,,Ring Lardner,A Day with Conrad Green,1929,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Ларднер Рінг,Моє виправдання: Оповідання,1970,,Ring Lardner,Ex Parte,1929,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Ле Гуїн Урсула,"Слово, що звільняє: Оповідання",1991,,Ursula K. Le Guin,The Word of Unbinding,1964,speculative fiction,first published In Fantastic magazine - digest size fantasy and science fiction magazine,1990s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Ліві Ньюмен,Седрік та його хрещений батько: Гумореска,1988,,Newman Levy,Cedric's Fairy Godfather,1958,Humor short story,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Ліггет Б,Любитель кішок: Оповідання,1969,,Byron Liggett,The Cat Man,1960,,,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Макграт Томас,Ворота облуди і ворота правди: Повість,1984,,Thomas McGrath,"The Gates of Ivory, the Gates of Horn",1957,,,1980s,Chernenko
Vsesvit,,Korotych V. (1978-1986),Маккаллерс Карсон,Балада про сумне кафе: Повість,1983,,Carson McCullens,The Ballad of the Sad Café,1951,,,1980s,Andropov
Vsesvit,,Mykytenko O. (1986-2000),Маккаллерс Карсон,Мадам Зіленська і король Фінляндії: Оповідання,1991,,Carson McCullens,Madame Zilensky and the King of Finland,1951,,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Маккол Ден,Незграба Джек: Роман,1980,,Dan McCall,Jack the Bear,1974,,,1980s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Марч Вільям,Біллові очі: Оповідання,1984,,William March,Bill's Eyes,1939,,,1980s,Chernenko
Vsesvit,,Pavlychko D. (1971-1978),Марч Вільям,Дружинонька: Новела,1977,,William March,The Little Wife,1935,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Мейфілд Джуліан,Довга ніч: Повість,1970,,Julian Mayfield,The Long Night,1958,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Мелвілл Герман,"Біллі Бад, формарсовий матрос: Повість",1977,,Herman Melville,"Billy Budd, Sailor",1924,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Метесон Річард,Двобій: Оповідання,1982,,Richard Matheson,Duel,1971,,,1980s,Andropov
Vsesvit,,Poltoratskyy O. (1958-1971),Міддоу Дж,Смерть Томмі Граймса: Оповідання,1963,,R. J. Meaddough,The Death of Tommy Grimes,1962,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Міен Томас,Кіноконцентрат: Оповідання,1964,,,,,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Міен Томас,Розчинити за смаком: Оповідання,1964,,,,,,,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),О’Коннор Фланнері,Урожай: Новела,1977,,Flannery O'Connor,The Crop,1971,,,,
Vsesvit,,Poltoratskyy O. (1958-1971),Олбі Едвард,Смерть Бессі Сміт: П’єса,1964,,Edward Albee,The Death of Bessie Smith,1960,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Олбрайт Джон,Заборона: Оповідання,1963,,,,,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Олгрен Нельсон,Пляшка молока для матері: Оповідання,1961,,Nelson Algren,A Bottle of Milk for Mother,1941,,,1960s,Khrushchev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Перша сутичка,1977,,Joyce Carol Oates,First Views of the Enemy,,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Норман і вбивця,1977,,Joyce Carol Oates,Norman And the Killer,1966,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Після аварії,1977,,Joyce Carol Oates,Convalescing,1970,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Оутс Джойс Керол,Безпритульні діти: Оповідання,1977,,Joyce Carol Oates,Stray Children,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),О’Хара Джон,Гроші: Новела,1977,,John O'Hara,Money,1962,published in the New Yorker,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Портер Кетрін Енн,Корабель блазнів: Роман,1978,,Katherine Anne Porter,Ship of Fools,1962,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),П’юзо Маріо,Хрещений батько: Роман,1973,,Mario Puzo,Godfather,1969,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Рейнолдс Мак,Концентратор нещасть: Оповідання,1987,,Mack Reynolds,Prone,1954,Science fiction,first published in the Magazine of Fantasy and Science Fiction,1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Руні Френк,Мотоциклісти: Оповідання,1982,,Frank Rooney,Ciclists' Raid,1951,,,1980s,Andropov
Vsesvit,,Poltoratskyy O. (1958-1971),Сакстон Александр,Ясна павутинка в темряві: Роман,1965,,Alexander Saxton,The Bright Web in the Darkness,1958,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Саллівен Френк,"Містер Арбатнот визначає, що таке кохання: Гумореска",1964,,Frank Sullivan,The Cliché Expert Testifies on Love,1935,Humor short story,Published in the New Yorker Magazine,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Сароян Вільям,Літо прегарного білого коня: Новела,1977,,William Saroyan,The Summer of the Beautiful White Horse,1940,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Сароян Вільям,"Любов, смерть, самопожертва і так далі: Оповідання",1963,,William Saroyan,"Love, Death, Sacrifice and So Forth",1934,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Сароян Вільям,Люди в печері: П’єса,1961,,William Saroyan,The Cave Dwellers,1958,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Сароян Вільям,Сумна історія: Роман,1968,,William Saroyan,The Laughing Matter/A Secret Story,1953,,,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Семсон Джоан,Аукціоніст: Роман,1982,,Joan Samson,The Auctioneer,1976,,,1980s,Andropov
Vsesvit,,Pavlychko D. (1971-1978),Сігел Ерік,Історія одного кохання: Роман,1976,,Erich Segal,Love Story,1970,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стевіс Беррі,"Людина, що ніколи не вмирала: П’єса",1963,,Barrie Stavis,The Man Who Never Died,1954,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Біла куріпка,1964,,John Steinbeck,The White Quail,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Втеча,1964,,John Steinbeck,Flight,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Династія Уайтсайдів,1964,,John Steinbeck,The Pastures of Heaven. Chapter XI,1932,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Дім Пета Гамберта,1964,,John Steinbeck,The Pastures of Heaven. Chapter X,1932,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Свята діва Кеті,1964,,John Steinbeck,Saint Katy the Virgin,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Хризантеми,1964,,John Steinbeck,The Chrysanthemums,1938,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Сестри Лопес: Оповідання,1964,,John Steinbeck,The Pastures of Heaven. Chapter VII,1932,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стейнбек Джон,Консервний Рад: Повість,1965,,John Steinbeck,Cannery Row,1945,,,1960s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Стоун Ірвінг,Бунт розуму: Роман,1991,,Irving Stone,The Passions of the Mind,1971,,,1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Стоун Ірвінг,Як створювалась «Пієта»: Повість,1966,,Irving Stone,The Story of Michelangelo's Pieta,1961,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Стоун Філіп Олстон,Тікати нікуди: Роман,1963,,Philip Alston Stone,No Place to Run,1959,,,1960s,Khrushchev
Vsesvit,,Korotych V. (1978-1986),Суонн Томас Бернетт,Ніч єдинорога: Оповідання,1982,,Thomas Burnett Swann,The Night of the Unicorn,1975,fantasy,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Ташнет Леонард,Практична людина: Оповідання,1981,,Leonard Tushnet,A Practical invention,1972,Science fiction,published in Fantasy and Science Fiction,1980s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Дві баєчки: Миролюбний Мангуст,1966,,James Thurber,Peacelike mongoose,1956,fable,Further Fables for Our Time by New Yorker,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,"Про тигра, який хотів бути царем",1966,,James Thurber,The Tiger Who Would Be King,1956,fable,Further Fables for Our Time by New Yorker,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Торбер [Тербер; Тарбер] Джеймс,Док Марло: Оповідання,1984,,James Thurber,Doc Marlowe,1935,,first published in the New Yorker,1980s,Chernenko
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Обранець народу: Оповідання,1970,,James Thurber,But Few are Chosen,1930,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Торбер [Тербер; Тарбер] Джеймс,Таємне життя Уолтера Миті: Оповідання,1982,,James Thurber,The Secret Life of Walter Mitty,1939,,,1980s,Andropov
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Тринадцять дзигарів,1967,,James Thurber,The 13 Clocks,1950,,,1960s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Торбер [Тербер; Тарбер] Джеймс,Дивовижне «О»: Оповідання,1967,,James Thurber,The wonderful O,1957,,,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Трейсі Вірджінія,Громовержець: Оповідання,1972,,,,,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Уелті Юдора,Дочка оптиміста: Повість,1974,,Eudora Welty,The Optimist's Daughter ,1969,,first published in the New Yorker,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),"Уест, Морріс",Репортаж,1981,,,,,,,,
Vsesvit,,Pavlychko D. (1971-1978),Уїльямс Теннесі,З десятим серпня!: Новела,1977,,Tennessee Williams,Happy August the Tenth,1974,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),"Уокер, Івен",Випадок у Гарлемі,1982,,,,,,,,
Vsesvit,,Korotych V. (1978-1986),Фармер Філіп Хосе,Наперекір тількивівторковому світу: Оповідання,1983,,Philip José Farmer,The Sliced-Crosswise Only-On-Tuesday World,1971,Science fiction,,1980s,Andropov
Vsesvit,,Mykytenko O. (1986-2000),Фелсен Генрі Грегор,Самогубство з сотнею доларів: Оповідання,1991,,Henry Gregor Felsen,The Hundred Dollar Suicide ,1956,,published in Playboy,1990s,Gorbachev
Vsesvit,,Pavlychko D. (1971-1978),Фіцджеральд Френсіс Скотт,Повернення до Вавілона: Оповідання,1976,,F. Scott Fitzgerald,Babylon Revisited,1931,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Фіш Роберт,Напад на літак: Оповідання,1982,,Robert L. Fish,Hijack,1972,crime fiction/detective,,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Фолкнер Вільям,В свою останню годину: Роман,1986,,William Faulkner,As I lay dying,1930,,,1980s,Gorbachev
Vsesvit,,Pavlychko D. (1971-1978),Фолкнер Вільям,Домашнє вогнище: Повість,1975,,William Faulkner,The  Fire and the Heart,1942,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Фолкнер Вільям,Еллі: Новела,1977,,William Faulkner,Elly,1934,,"bibliography says 1934, vsesvit says 1931",1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Фолкнер Вільям,Жила собі королева: Оповідання,1975,,William Faulkner,There Was a Queen,1933,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Фолкнер Вільям,Золотий край,1971,,William Faulkner,Golden Land,1935,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Фолкнер Вільям,Завтра і позавтра...: Оповідання,1971,,William Faulkner,Tomorrow,1940,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,Крадії: Роман,1970,,William Faulkner,The Reivers,1962,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,Пенсільванський вокзал,1960,,William Faulkner,Pennsylvania Station,1934,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,Два солдати,1960,,William Faulkner,Two Soldiers,1942,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,Не загинуть!,1960,,William Faulkner,Shall Not Perish,1943,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,Велетні,1960,,William Faulkner,The Tall Man,1941,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,І все буде чудово,1960,,William Faulkner,That Will Be Fine,1935,,,1960s,Khrushchev
Vsesvit,,Poltoratskyy O. (1958-1971),Фолкнер Вільям,Старий: Повість,1962,,William Faulkner,The Old People,1940,,,1960s,Khrushchev
Vsesvit,,Mykytenko O. (1986-2000),Хайнлайн Роберт,А ще ми прогулюємо собак: Оповідання,1991,,Robert A. Heinlein,We Also Walk Dogs,1941,Science fiction,First published in Astounding Science Fiction as by Anson MacDonald,1990s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Хантер Івен,День народження: Оповідання,1991,,Evan Hunter,The Birthday Party,1965,,"was published in Playboy in 1966, vsesvit refers to a carnival of modern humour by delacorte press 1967",1990s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Хантер Івен,Шкільні джунглі: Роман,1967,,Evan Hunter,The Blackboard Jungle,1954,,,1960s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хейлі Артур,Готель: Роман,1972,,Arthur Hailey,Hotel,1956,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Хелман Ліліан,Джулія: Повість,1985,,Lillian Hellman,Pentimento: A Book of Portraits. Julia,1973,,Pentimento contains a section about an anti-nazi activist named Julia,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Хемінгуей Ернест,За ким сумує дзвін: Роман,1969,,Ernest Hemingway ,For whom the Bell Tolls,1940,,,1960s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Хемінгуей Ернест,Після дощу: Новела,1979,,Ernest Hemingway ,Che ti dice la Patria,1927,,,1970s,Brezhnev
Vsesvit,,Korotych V. (1978-1986),Хемінгуей Ернест,Постріл: Новела,1979,,Ernest Hemingway ,The Shot,1951,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,Три постріли,1975,,Ernest Hemingway ,Three Shots,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,Індіанці виїхали,1975,,Ernest Hemingway ,The Indians Moved Away,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,Останній незайманий край,1975,,Ernest Hemingway ,The Last Good Country,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,Переїзд через Міссісіпі,1975,,Ernest Hemingway ,Crossing the Missiissippi,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,Остання ніч у морі,1975,,Ernest Hemingway ,Night Before Landing,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,День одруження,1975,,Ernest Hemingway ,Wedding Day,1972,,,1970s,Brezhnev
Vsesvit,,Pavlychko D. (1971-1978),Хемінгуей Ернест,Про творчість: 3 неопублікованого,1975,,Ernest Hemingway ,On Writing,1972,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Хеммет Дешіл,Королівські клопоти: Повість,1991,,Dashiell Hammet,This King Business,1928,Detective,,1990s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Холдінг Джеймс,Пристойна ціна за картину: Оповідання,1991,,James Holding,A Decent Price for a Painting,1982,Detective/Mystery,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Хорген Пол,Медовий місяць по-американському: Оповідання,1981,,Paul Horgan,National Honeymoon,1967,,"was included in The Peach Stone: Stories from Four Decades  collections printed in 1967, but according to the chronology was written/published in 1950",1980s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Перепис,1970,,Langston Hughes,Census,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Порожні будинки,1970,,Langston Hughes,Empty Houses,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Яхти,1970,,Langston Hughes,Yachts ,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Пригоди гарантовано,1970,,Langston Hughes,Adventure,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Золота брама,1970,,Langston Hughes,Golden Gate,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Співачки від Євангелія,1970,,Langston Hughes,Gospel Singers,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Бомбосховища,1970,,Langston Hughes,Bomb Shelters,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Ліворуч від господа,1970,,Langston Hughes,God's Other Side,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Конкурс,1970,,Langston Hughes,Contest,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Статути і статуї,1970,,Langston Hughes,Statuteas and Statues,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Виставляймося,1970,,Langston Hughes,Pose-Outs ,1965,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Х’юз Ленгстон,Дядько Сем,1970,,Langston Hughes,Uncle Sam ,1965,,,1970s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Чандлер [Чендлер] Реймонд,Завіса: Повість,1991,,Raymond Chandler,The Curtain,1936,,"first published in Black Mask, later part of Killer in the Rain collection published by Hamish Hamilton, London, 1964",1990s,Gorbachev
Vsesvit,,Mykytenko O. (1986-2000),Чандлер [Чендлер] Реймонд,Золоті рибки: Повість,1988,,Raymond Chandler,Goldfish,1936,,"first published in Black Mask, later part if Five Murders collection, published by Avon Books in 1944, New York and in 1946 by Worls Publishong Co, Cleveland, OH, in The simple Art of Murder in 1950 etc - many other places",1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Чандлер [Чендлер] Реймонд,Постріли в ресторані Сірано: Повість,1980,,Raymond Chandler,Guns at Cyrano's,1936,,"first published in Black Mask, later part of Red wind collection, published in 1946 by Worls Publishong Co, Cleveland, OH",1980s,Brezhnev
Vsesvit,,Mykytenko O. (1986-2000),Чандлер [Чендлер] Реймонд,Убивство під час дощу: Повість,1989,,Raymond Chandler,Killer in the Rain,1935,,"first published in Black Mask, later part of Killer in the Rain collection published by Hamish Hamilton, London, 1964",1980s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Чівер Джон,Принади самотності: Оповідання,1983,,John Cheever,The Pleasures of Solitude,1942,,"first published in the New Yorker, later was part of The Way Some people live collection published in 1943",1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Чівер Джон,"«Прокидайся, брате Жаку...»: Оповідання",1983,,John Cheever,Frère Jacques,1938,,published in the Atlantic magazine,1980s,Andropov
Vsesvit,,Mykytenko O. (1986-2000),Шеклі Роберт,Безіменна гора: Оповідання,1991,,Robert Sheckley,A Mountain Without a Name,1955,,,1990s,Gorbachev
Vsesvit,,Korotych V. (1978-1986),Шеклі Роберт,Заборонена зона - Лексіанський ключ: Оповідання,1983,,Robert Sheckley,The Laxian Key,1954,,"first published in Galaxy in 1952, later in collection The people Trap in 1968 by Deli",1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Шоу Ірвін,Лиха пригода: Оповідання,1982,,Irwin Shaw,A Wicked story,1953,,first published in the New Yorker in 1953,1980s,Andropov
Vsesvit,,Korotych V. (1978-1986),Шоу Ірвін,Нічний черговий: Роман,1979,,Irwin Shaw,Night Work,1975,,,1970s,Brezhnev
Vsesvit,,Poltoratskyy O. (1958-1971),Шоу Ірвін,Основні течії в американській думці: Новела,1959,,Irwin Shaw,Main Currents of American Thought,1939,,"first publishes in 1939 in the New Yorker, later in Five Decades collection and other places",1950s,Khrushchev
Vsesvit,,Korotych V. (1978-1986),Шоу Ірвін,Хліб по воді: Роман,1985,,Irwin Shaw,Bread Upon Waters,1981,,,1980s,Gorbachev
Vsesvit,,Poltoratskyy O. (1958-1971),Шулмен Макс,"Хлопці, наших бьють!: Сатир, роман",1960,,Max Shulman,"Rally Round the Flag,  Boys!",1957,,,1960s,Khrushchev